"","year","region","unemp_rate"
"210",1999,"colorado",2.9
"211",1999,"connecticut",3.2
"212",1999,"delaware",3.5
"213",1999,"district of columbia",6.3
"214",1999,"florida",3.9
"215",1999,"georgia",4
"216",1999,"hawaii",5.6
"217",1999,"idaho",5.2
"218",1999,"illinois",4.3
"219",1999,"indiana",3
"220",1999,"iowa",2.5
"221",1999,"kansas",3
"222",1999,"kentucky",4.5
"223",1999,"louisiana",5.1
"224",1999,"maine",4.1
"225",1999,"maryland",3.5
"226",1999,"massachusetts",3.2
"227",1999,"michigan",3.8
"228",1999,"minnesota",2.8
"229",1999,"mississippi",5.1
"230",1999,"missouri",3.4
"231",1999,"montana",5.2
"232",1999,"nebraska",2.9
"233",1999,"nevada",4.4
"234",1999,"new hampshire",2.7
"235",1999,"new jersey",4.6
"236",1999,"new mexico",5.6
"237",1999,"new york",5.2
"238",1999,"north carolina",3.2
"239",1999,"north dakota",3.4
"240",1999,"ohio",4.3
"241",1999,"oklahoma",3.4
"242",1999,"oregon",5.7
"243",1999,"pennsylvania",4.4
"244",1999,"rhode island",4.1
"245",1999,"south carolina",4.5
"246",1999,"south dakota",2.9
"247",1999,"tennessee",4
"248",1999,"texas",4.6
"249",1999,"utah",3.7
"250",1999,"vermont",3
"251",1999,"virginia",2.8
"252",1999,"washington",4.7
"253",1999,"west virginia",6.6
"254",1999,"wisconsin",3
"255",1999,"wyoming",4.9
"256",2000,"alabama",4.6
"257",2000,"alaska",6.6
"258",2000,"arizona",3.9
"259",2000,"arkansas",4.4
"260",2000,"california",4.9
"261",2000,"colorado",2.7
"262",2000,"connecticut",2.3
"263",2000,"delaware",4
"264",2000,"district of columbia",5.8
"265",2000,"florida",3.6
"266",2000,"georgia",3.7
"267",2000,"hawaii",4.3
"268",2000,"idaho",4.9
"269",2000,"illinois",4.4
"270",2000,"indiana",3.2
"271",2000,"iowa",2.6
"272",2000,"kansas",3.7
"273",2000,"kentucky",4.1
"274",2000,"louisiana",5.5
"275",2000,"maine",3.5
"276",2000,"maryland",3.9
"277",2000,"massachusetts",2.6
"278",2000,"michigan",3.6
"279",2000,"minnesota",3.3
"280",2000,"mississippi",5.7
"281",2000,"missouri",3.5
"282",2000,"montana",4.9
"283",2000,"nebraska",3
"284",2000,"nevada",4.1
"285",2000,"new hampshire",2.8
"286",2000,"new jersey",3.8
"287",2000,"new mexico",4.9
"288",2000,"new york",4.6
"289",2000,"north carolina",3.6
"290",2000,"north dakota",3
"291",2000,"ohio",4.1
"292",2000,"oklahoma",3
"293",2000,"oregon",4.9
"294",2000,"pennsylvania",4.2
"295",2000,"rhode island",4.1
"296",2000,"south carolina",3.9
"297",2000,"south dakota",2.3
"298",2000,"tennessee",3.9
"299",2000,"texas",4.2
"300",2000,"utah",3.2
"301",2000,"vermont",2.9
"302",2000,"virginia",2.2
"303",2000,"washington",5.2
"304",2000,"west virginia",5.5
"305",2000,"wisconsin",3.5
"306",2000,"wyoming",3.9
"307",2001,"alabama",5.3
"308",2001,"alaska",6.3
"309",2001,"arizona",4.7
"310",2001,"arkansas",5.1
"311",2001,"california",5.3
"312",2001,"colorado",3.7
"313",2001,"connecticut",3.3
"314",2001,"delaware",3.5
"315",2001,"district of columbia",6.5
"316",2001,"florida",4.8
"317",2001,"georgia",4
"318",2001,"hawaii",4.6
"319",2001,"idaho",5
"320",2001,"illinois",5.4
"321",2001,"indiana",4.4
"322",2001,"iowa",3.3
"323",2001,"kansas",4.3
"324",2001,"kentucky",5.5
"325",2001,"louisiana",6
"326",2001,"maine",4
"327",2001,"maryland",4.1
"328",2001,"massachusetts",3.7
"329",2001,"michigan",5.3
"330",2001,"minnesota",3.7
"331",2001,"mississippi",5.5
"332",2001,"missouri",4.7
"333",2001,"montana",4.6
"334",2001,"nebraska",3.1
"335",2001,"nevada",5.3
"336",2001,"new hampshire",3.5
"337",2001,"new jersey",4.2
"338",2001,"new mexico",4.8
"339",2001,"new york",4.9
"340",2001,"north carolina",5.5
"341",2001,"north dakota",2.8
"342",2001,"ohio",4.3
"343",2001,"oklahoma",3.8
"344",2001,"oregon",6.3
"345",2001,"pennsylvania",4.7
"346",2001,"rhode island",4.7
"347",2001,"south carolina",5.4
"348",2001,"south dakota",3.3
"349",2001,"tennessee",4.5
"350",2001,"texas",4.9
"351",2001,"utah",4.4
"352",2001,"vermont",3.6
"353",2001,"virginia",3.5
"354",2001,"washington",6.4
"355",2001,"west virginia",4.9
"356",2001,"wisconsin",4.6
"357",2001,"wyoming",3.9
"358",2002,"alabama",5.9
"359",2002,"alaska",7.7
"360",2002,"arizona",6.2
"361",2002,"arkansas",5.4
"362",2002,"california",6.7
"363",2002,"colorado",5.7
"364",2002,"connecticut",4.3
"365",2002,"delaware",4.2
"366",2002,"district of columbia",6.4
"367",2002,"florida",5.5
"368",2002,"georgia",5.1
"369",2002,"hawaii",4.2
"370",2002,"idaho",5.8
"371",2002,"illinois",6.5
"372",2002,"indiana",5.1
"373",2002,"iowa",4
"374",2002,"kansas",5.1
"375",2002,"kentucky",5.6
"376",2002,"louisiana",6.1
"377",2002,"maine",4.4
"378",2002,"maryland",4.4
"379",2002,"massachusetts",5.3
"380",2002,"michigan",6.2
"381",2002,"minnesota",4.4
"382",2002,"mississippi",6.8
"383",2002,"missouri",5.5
"384",2002,"montana",4.6
"385",2002,"nebraska",3.6
"386",2002,"nevada",5.5
"387",2002,"new hampshire",4.7
"388",2002,"new jersey",5.8
"389",2002,"new mexico",5.4
"390",2002,"new york",6.1
"391",2002,"north carolina",6.7
"392",2002,"north dakota",4
"393",2002,"ohio",5.7
"394",2002,"oklahoma",4.5
"395",2002,"oregon",7.5
"396",2002,"pennsylvania",5.7
"397",2002,"rhode island",5.1
"398",2002,"south carolina",6
"399",2002,"south dakota",3.1
"400",2002,"tennessee",5.1
"401",2002,"texas",6.3
"402",2002,"utah",6.1
"403",2002,"vermont",3.7
"404",2002,"virginia",4.1
"405",2002,"washington",7.3
"406",2002,"west virginia",6.1
"407",2002,"wisconsin",5.5
"408",2002,"wyoming",4.2
"409",2003,"alabama",5.8
"410",2003,"alaska",7.7
"411",2003,"arizona",4.8
"412",2003,"arkansas",5.5
"413",2003,"california",6.4
"414",2003,"colorado",5.8
"415",2003,"connecticut",5
"416",2003,"delaware",4.1
"417",2003,"district of columbia",6.6
"418",2003,"florida",4.7
"419",2003,"georgia",4.1
"420",2003,"hawaii",4.1
"421",2003,"idaho",4.8
"422",2003,"illinois",6.4
"423",2003,"indiana",5
"424",2003,"iowa",4.4
"425",2003,"kansas",4.8
"426",2003,"kentucky",5.4
"427",2003,"louisiana",5.8
"428",2003,"maine",5
"429",2003,"maryland",4.4
"430",2003,"massachusetts",5.7
"431",2003,"michigan",7.2
"432",2003,"minnesota",4.7
"433",2003,"mississippi",5
"434",2003,"missouri",5
"435",2003,"montana",4.5
"436",2003,"nebraska",3.7
"437",2003,"nevada",4.4
"438",2003,"new hampshire",4.1
"439",2003,"new jersey",5.3
"440",2003,"new mexico",5.7
"441",2003,"new york",6.2
"442",2003,"north carolina",6.1
"443",2003,"north dakota",3.2
"444",2003,"ohio",6
"445",2003,"oklahoma",5.1
"446",2003,"oregon",7.2
"447",2003,"pennsylvania",5.1
"448",2003,"rhode island",5
"449",2003,"south carolina",6.1
"450",2003,"south dakota",3.4
"451",2003,"tennessee",5.7
"452",2003,"texas",6.4
"453",2003,"utah",4.7
"454",2003,"vermont",4
"455",2003,"virginia",3.6
"456",2003,"washington",6.8
"457",2003,"west virginia",5.3
"458",2003,"wisconsin",5.2
"459",2003,"wyoming",4
"460",2004,"alabama",5.4
"461",2004,"alaska",7.3
"462",2004,"arizona",4.2
"463",2004,"arkansas",5.6
"464",2004,"california",5.8
"465",2004,"colorado",5.1
"466",2004,"connecticut",4.3
"467",2004,"delaware",4.1
"468",2004,"district of columbia",9
"469",2004,"florida",4.5
"470",2004,"georgia",4.4
"471",2004,"hawaii",3
"472",2004,"idaho",4
"473",2004,"illinois",5.8
"474",2004,"indiana",5.1
"475",2004,"iowa",4.7
"476",2004,"kansas",4.6
"477",2004,"kentucky",4.5
"478",2004,"louisiana",5.6
"479",2004,"maine",4.7
"480",2004,"maryland",4
"481",2004,"massachusetts",4.6
"482",2004,"michigan",7.3
"483",2004,"minnesota",4.4
"484",2004,"mississippi",6.4
"485",2004,"missouri",5.5
"486",2004,"montana",3.7
"487",2004,"nebraska",3.6
"488",2004,"nevada",3.8
"489",2004,"new hampshire",3.3
"490",2004,"new jersey",4.2
"491",2004,"new mexico",5.2
"492",2004,"new york",5.3
"493",2004,"north carolina",5.2
"494",2004,"north dakota",3.2
"495",2004,"ohio",5.9
"496",2004,"oklahoma",4.2
"497",2004,"oregon",6.8
"498",2004,"pennsylvania",5.6
"499",2004,"rhode island",4.6
"500",2004,"south carolina",6.7
"501",2004,"south dakota",3.3
"502",2004,"tennessee",5.2
"503",2004,"texas",5.8
"504",2004,"utah",4.4
"505",2004,"vermont",3.4
"506",2004,"virginia",3.3
"507",2004,"washington",5.8
"508",2004,"west virginia",4.9
"509",2004,"wisconsin",4.6
"510",2004,"wyoming",3.3
"511",2005,"alabama",3.5
"512",2005,"alaska",6.9
"513",2005,"arizona",4.6
"514",2005,"arkansas",4.5
"515",2005,"california",5.1
"516",2005,"colorado",4.6
"517",2005,"connecticut",4.8
"518",2005,"delaware",4.4
"519",2005,"district of columbia",6
"520",2005,"florida",3.3
"521",2005,"georgia",5.2
"522",2005,"hawaii",2.7
"523",2005,"idaho",3.4
"524",2005,"illinois",5.5
"525",2005,"indiana",5.5
"526",2005,"iowa",4.5
"527",2005,"kansas",4.9
"528",2005,"kentucky",6.3
"529",2005,"louisiana",6.4
"530",2005,"maine",4.8
"531",2005,"maryland",3.9
"532",2005,"massachusetts",4.9
"533",2005,"michigan",6.7
"534",2005,"minnesota",4.1
"535",2005,"mississippi",9.9
"536",2005,"missouri",5.1
"537",2005,"montana",3.7
"538",2005,"nebraska",3.7
"539",2005,"nevada",3.8
"540",2005,"new hampshire",3.5
"541",2005,"new jersey",4.7
"542",2005,"new mexico",4.8
"543",2005,"new york",5.1
"544",2005,"north carolina",4.9
"545",2005,"north dakota",3.3
"546",2005,"ohio",5.9
"547",2005,"oklahoma",4.1
"548",2005,"oregon",5.7
"549",2005,"pennsylvania",4.9
"550",2005,"rhode island",5.2
"551",2005,"south carolina",7
"552",2005,"south dakota",3.9
"553",2005,"tennessee",5.4
"554",2005,"texas",5.1
"555",2005,"utah",3.8
"556",2005,"vermont",3.6
"557",2005,"virginia",3.3
"558",2005,"washington",5.3
"559",2005,"west virginia",4.7
"560",2005,"wisconsin",4.8
"561",2005,"wyoming",3.2
"562",2006,"alabama",3.6
"563",2006,"alaska",6.7
"564",2006,"arizona",4.1
"565",2006,"arkansas",5.1
"566",2006,"california",4.8
"567",2006,"colorado",4
"568",2006,"connecticut",4.2
"569",2006,"delaware",3.4
"570",2006,"district of columbia",6.3
"571",2006,"florida",3.3
"572",2006,"georgia",4.6
"573",2006,"hawaii",2
"574",2006,"idaho",3.2
"575",2006,"illinois",4.1
"576",2006,"indiana",4.8
"577",2006,"iowa",3.5
"578",2006,"kansas",4.5
"579",2006,"kentucky",5.2
"580",2006,"louisiana",4.3
"581",2006,"maine",4.7
"582",2006,"maryland",3.9
"583",2006,"massachusetts",5.3
"584",2006,"michigan",7.1
"585",2006,"minnesota",4.2
"586",2006,"mississippi",7.5
"587",2006,"missouri",4.9
"588",2006,"montana",2.9
"589",2006,"nebraska",3.1
"590",2006,"nevada",4.4
"591",2006,"new hampshire",3.5
"592",2006,"new jersey",4.2
"593",2006,"new mexico",3.8
"594",2006,"new york",4
"595",2006,"north carolina",4.9
"596",2006,"north dakota",3.2
"597",2006,"ohio",5.6
"598",2006,"oklahoma",3.8
"599",2006,"oregon",5.4
"600",2006,"pennsylvania",4.6
"601",2006,"rhode island",5.2
"602",2006,"south carolina",6.6
"603",2006,"south dakota",3.2
"604",2006,"tennessee",4.7
"605",2006,"texas",4.5
"606",2006,"utah",2.6
"607",2006,"vermont",3.8
"608",2006,"virginia",2.9
"609",2006,"washington",5
"610",2006,"west virginia",5.1
"611",2006,"wisconsin",4.9
"612",2006,"wyoming",3
"613",2007,"alabama",4
"614",2007,"alaska",6.5
"615",2007,"arizona",4.7
"616",2007,"arkansas",5.9
"617",2007,"california",6.1
"618",2007,"colorado",4.5
"619",2007,"connecticut",5
"620",2007,"delaware",3.8
"621",2007,"district of columbia",6.1
"622",2007,"florida",4.7
"623",2007,"georgia",4.8
"624",2007,"hawaii",3.2
"625",2007,"idaho",3
"626",2007,"illinois",5.5
"627",2007,"indiana",4.6
"628",2007,"iowa",4
"629",2007,"kansas",4.4
"630",2007,"kentucky",5.7
"631",2007,"louisiana",4.2
"632",2007,"maine",5.1
"633",2007,"maryland",3.8
"634",2007,"massachusetts",4.5
"635",2007,"michigan",7.6
"636",2007,"minnesota",4.9
"637",2007,"mississippi",6.8
"638",2007,"missouri",5.5
"639",2007,"montana",3.6
"640",2007,"nebraska",3.2
"641",2007,"nevada",5.8
"642",2007,"new hampshire",3.6
"643",2007,"new jersey",4.5
"644",2007,"new mexico",3.7
"645",2007,"new york",4.9
"646",2007,"north carolina",5
"647",2007,"north dakota",3.3
"648",2007,"ohio",6
"649",2007,"oklahoma",4.5
"650",2007,"oregon",5.6
"651",2007,"pennsylvania",4.7
"652",2007,"rhode island",5.5
"653",2007,"south carolina",6.6
"654",2007,"south dakota",3
"655",2007,"tennessee",5.3
"656",2007,"texas",4.5
"657",2007,"utah",3.2
"658",2007,"vermont",4
"659",2007,"virginia",3.5
"660",2007,"washington",4.8
"661",2007,"west virginia",4.9
"662",2007,"wisconsin",5
"663",2007,"wyoming",3.1
"664",2008,"alabama",6.7
"665",2008,"alaska",7.5
"666",2008,"arizona",6.9
"667",2008,"arkansas",6.2
"668",2008,"california",9.3
"669",2008,"colorado",6.1
"670",2008,"connecticut",7.1
"671",2008,"delaware",6.2
"672",2008,"district of columbia",8.8
"673",2008,"florida",8.1
"674",2008,"georgia",8.1
"675",2008,"hawaii",5.5
"676",2008,"idaho",6.4
"677",2008,"illinois",7.6
"678",2008,"indiana",8.2
"679",2008,"iowa",4.6
"680",2008,"kansas",5.2
"681",2008,"kentucky",7.8
"682",2008,"louisiana",5.9
"683",2008,"maine",7
"684",2008,"maryland",5.8
"685",2008,"massachusetts",6.9
"686",2008,"michigan",10.6
"687",2008,"minnesota",6.9
"688",2008,"mississippi",8
"689",2008,"missouri",7.3
"690",2008,"montana",5.4
"691",2008,"nebraska",4
"692",2008,"nevada",9.1
"693",2008,"new hampshire",4.6
"694",2008,"new jersey",7.1
"695",2008,"new mexico",4.9
"696",2008,"new york",7
"697",2008,"north carolina",8.7
"698",2008,"north dakota",3.5
"699",2008,"ohio",7.8
"700",2008,"oklahoma",4.9
"701",2008,"oregon",9
"702",2008,"pennsylvania",6.7
"703",2008,"rhode island",10
"704",2008,"south carolina",9.5
"705",2008,"south dakota",3.9
"706",2008,"tennessee",7.9
"707",2008,"texas",6
"708",2008,"utah",4.3
"709",2008,"vermont",6.4
"710",2008,"virginia",5.4
"711",2008,"washington",7.1
"712",2008,"west virginia",4.9
"713",2008,"wisconsin",6.2
"714",2008,"wyoming",3.4
"715",2009,"alabama",11
"716",2009,"alaska",8.8
"717",2009,"arizona",9.1
"718",2009,"arkansas",7.7
"719",2009,"california",12.4
"720",2009,"colorado",7.5
"721",2009,"connecticut",8.9
"722",2009,"delaware",9
"723",2009,"district of columbia",12.1
"724",2009,"florida",11.8
"725",2009,"georgia",10.3
"726",2009,"hawaii",6.9
"727",2009,"idaho",9.1
