"","year","region","pov_rate"
"209",1999,"california",15.3
"210",1999,"colorado",8.6
"211",1999,"connecticut",8.4
"212",1999,"delaware",10.1
"213",1999,"district of columbia",19.7
"214",1999,"florida",13.3
"215",1999,"georgia",13.7
"216",1999,"hawaii",11.9
"217",1999,"idaho",13.9
"218",1999,"illinois",10.4
"219",1999,"indiana",8.3
"220",1999,"iowa",8.7
"221",1999,"kansas",10.5
"222",1999,"kentucky",13.8
"223",1999,"louisiana",18.2
"224",1999,"maine",10.4
"225",1999,"maryland",7.6
"226",1999,"massachusetts",10.9
"227",1999,"michigan",10.3
"228",1999,"minnesota",9.1
"229",1999,"mississippi",16.8
"230",1999,"missouri",11.1
"231",1999,"montana",15.9
"232",1999,"nebraska",11
"233",1999,"nevada",11
"234",1999,"new hampshire",8.9
"235",1999,"new jersey",8.5
"236",1999,"new mexico",20.8
"237",1999,"new york",15.7
"238",1999,"north carolina",13
"239",1999,"north dakota",13.9
"240",1999,"ohio",11.4
"241",1999,"oklahoma",13.5
"242",1999,"oregon",13.1
"243",1999,"pennsylvania",10.6
"244",1999,"rhode island",11.4
"245",1999,"south carolina",12.8
"246",1999,"south dakota",11.7
"247",1999,"tennessee",13.2
"248",1999,"texas",15.6
"249",1999,"utah",7.9
"250",1999,"vermont",9.6
"251",1999,"virginia",9.8
"252",1999,"washington",9.2
"253",1999,"west virginia",16.7
"254",1999,"wisconsin",8.5
"255",1999,"wyoming",11.9
"256",2000,"alabama",14.6
"257",2000,"alaska",8.3
"258",2000,"arizona",13.6
"259",2000,"arkansas",15.8
"260",2000,"california",14
"261",2000,"colorado",8.5
"262",2000,"connecticut",7.6
"263",2000,"delaware",9.8
"264",2000,"district of columbia",17.3
"265",2000,"florida",12.1
"266",2000,"georgia",12.6
"267",2000,"hawaii",10.5
"268",2000,"idaho",13.3
"269",2000,"illinois",10.5
"270",2000,"indiana",8.2
"271",2000,"iowa",7.9
"272",2000,"kansas",10.4
"273",2000,"kentucky",12.5
"274",2000,"louisiana",18.6
"275",2000,"maine",9.8
"276",2000,"maryland",7.3
"277",2000,"massachusetts",10.2
"278",2000,"michigan",10.2
"279",2000,"minnesota",7.8
"280",2000,"mississippi",15.5
"281",2000,"missouri",9.7
"282",2000,"montana",16
"283",2000,"nebraska",10.6
"284",2000,"nevada",10
"285",2000,"new hampshire",7.4
"286",2000,"new jersey",8.1
"287",2000,"new mexico",19.3
"288",2000,"new york",14.7
"289",2000,"north carolina",13.2
"290",2000,"north dakota",12.7
"291",2000,"ohio",11.1
"292",2000,"oklahoma",14.1
"293",2000,"oregon",12.8
"294",2000,"pennsylvania",9.9
"295",2000,"rhode island",10
"296",2000,"south carolina",11.9
"297",2000,"south dakota",9.3
"298",2000,"tennessee",13.3
"299",2000,"texas",14.9
"300",2000,"utah",8.1
"301",2000,"vermont",10.1
"302",2000,"virginia",8.1
"303",2000,"washington",9.4
"304",2000,"west virginia",15.8
"305",2000,"wisconsin",8.8
"306",2000,"wyoming",11
"307",2001,"alabama",14.8
"308",2001,"alaska",7.9
"309",2001,"arizona",12.9
"310",2001,"arkansas",16.3
"311",2001,"california",13.1
"312",2001,"colorado",9
"313",2001,"connecticut",7.4
"314",2001,"delaware",8.5
"315",2001,"district of columbia",16.1
"316",2001,"florida",12
"317",2001,"georgia",12.6
"318",2001,"hawaii",10.4
"319",2001,"idaho",12.7
"320",2001,"illinois",10.2
"321",2001,"indiana",7.9
"322",2001,"iowa",7.7
"323",2001,"kansas",10.1
"324",2001,"kentucky",12.4
"325",2001,"louisiana",17.5
"326",2001,"maine",10.3
"327",2001,"maryland",7.3
"328",2001,"massachusetts",10.2
"329",2001,"michigan",9.7
"330",2001,"minnesota",6.8
"331",2001,"mississippi",16.8
"332",2001,"missouri",10.2
"333",2001,"montana",14.4
"334",2001,"nebraska",9.7
"335",2001,"nevada",9
"336",2001,"new hampshire",6.2
"337",2001,"new jersey",7.7
"338",2001,"new mexico",18.8
"339",2001,"new york",14.1
"340",2001,"north carolina",12.9
"341",2001,"north dakota",12.4
"342",2001,"ohio",10.8
"343",2001,"oklahoma",14.3
"344",2001,"oregon",11.8
"345",2001,"pennsylvania",9.2
"346",2001,"rhode island",10
"347",2001,"south carolina",12.7
"348",2001,"south dakota",9
"349",2001,"tennessee",13.2
"350",2001,"texas",15.2
"351",2001,"utah",8
"352",2001,"vermont",9.8
"353",2001,"virginia",8
"354",2001,"washington",10.4
"355",2001,"west virginia",15.6
"356",2001,"wisconsin",8.6
"357",2001,"wyoming",10.3
"358",2002,"alabama",14.6
"359",2002,"alaska",8.3
"360",2002,"arizona",13.3
"361",2002,"arkansas",18
"362",2002,"california",12.8
"363",2002,"colorado",9.4
"364",2002,"connecticut",7.8
"365",2002,"delaware",8.1
"366",2002,"district of columbia",16.8
"367",2002,"florida",12.1
"368",2002,"georgia",12.1
"369",2002,"hawaii",10.6
"370",2002,"idaho",11.8
"371",2002,"illinois",11.2
"372",2002,"indiana",8.7
"373",2002,"iowa",8.3
"374",2002,"kansas",9.4
"375",2002,"kentucky",13.1
"376",2002,"louisiana",17
"377",2002,"maine",11.3
"378",2002,"maryland",7.3
"379",2002,"massachusetts",9.6
"380",2002,"michigan",10.3
"381",2002,"minnesota",6.5
"382",2002,"mississippi",17.6
"383",2002,"missouri",9.6
"384",2002,"montana",13.7
"385",2002,"nebraska",9.5
"386",2002,"nevada",8.3
"387",2002,"new hampshire",5.6
"388",2002,"new jersey",7.8
"389",2002,"new mexico",17.8
"390",2002,"new york",14
"391",2002,"north carolina",13.1
"392",2002,"north dakota",11.9
"393",2002,"ohio",10.1
"394",2002,"oklahoma",14.7
"395",2002,"oregon",11.2
"396",2002,"pennsylvania",9.2
"397",2002,"rhode island",10.3
"398",2002,"south carolina",13.5
"399",2002,"south dakota",10.2
"400",2002,"tennessee",14.2
"401",2002,"texas",15.3
"402",2002,"utah",9.3
"403",2002,"vermont",9.9
"404",2002,"virginia",8.7
"405",2002,"washington",10.8
"406",2002,"west virginia",16
"407",2002,"wisconsin",8.6
"408",2002,"wyoming",9.5
"409",2003,"alabama",15.1
"410",2003,"alaska",9
"411",2003,"arizona",13.9
"412",2003,"arkansas",18.5
"413",2003,"california",12.9
"414",2003,"colorado",9.4
"415",2003,"connecticut",7.9
"416",2003,"delaware",7.7
"417",2003,"district of columbia",17.3
"418",2003,"florida",12.7
"419",2003,"georgia",12
"420",2003,"hawaii",10.7
"421",2003,"idaho",11
"422",2003,"illinois",11.8
"423",2003,"indiana",9.2
"424",2003,"iowa",8.5
"425",2003,"kansas",10.3
"426",2003,"kentucky",13.7
"427",2003,"louisiana",16.9
"428",2003,"maine",11.8
"429",2003,"maryland",7.7
"430",2003,"massachusetts",9.7
"431",2003,"michigan",10.8
"432",2003,"minnesota",7.1
"433",2003,"mississippi",17.9
"434",2003,"missouri",10.1
"435",2003,"montana",14
"436",2003,"nebraska",9.9
"437",2003,"nevada",9
"438",2003,"new hampshire",6
"439",2003,"new jersey",8.2
"440",2003,"new mexico",18
"441",2003,"new york",14.2
"442",2003,"north carolina",14.2
"443",2003,"north dakota",11.7
"444",2003,"ohio",10.4
"445",2003,"oklahoma",14
"446",2003,"oregon",11.7
"447",2003,"pennsylvania",9.9
"448",2003,"rhode island",10.7
"449",2003,"south carolina",14
"450",2003,"south dakota",10.9
"451",2003,"tennessee",14.3
"452",2003,"texas",15.8
"453",2003,"utah",9.8
"454",2003,"vermont",9.4
"455",2003,"virginia",9.3
"456",2003,"washington",11.4
"457",2003,"west virginia",16.9
"458",2003,"wisconsin",8.8
"459",2003,"wyoming",9.1
"460",2004,"alabama",15.5
"461",2004,"alaska",9.2
"462",2004,"arizona",13.8
"463",2004,"arkansas",17.6
"464",2004,"california",13.2
"465",2004,"colorado",9.8
"466",2004,"connecticut",8.8
"467",2004,"delaware",8.5
"468",2004,"district of columbia",16.8
"469",2004,"florida",12.3
"470",2004,"georgia",12
"471",2004,"hawaii",9.7
"472",2004,"idaho",10.5
"473",2004,"illinois",12.5
"474",2004,"indiana",10.2
"475",2004,"iowa",9.7
"476",2004,"kansas",10.7
"477",2004,"kentucky",15.4
"478",2004,"louisiana",17
"479",2004,"maine",12.2
"480",2004,"maryland",8.6
"481",2004,"massachusetts",9.8
"482",2004,"michigan",12.1
"483",2004,"minnesota",7
"484",2004,"mississippi",17.7
"485",2004,"missouri",10.9
"486",2004,"montana",14.3
"487",2004,"nebraska",9.9
"488",2004,"nevada",10.2
"489",2004,"new hampshire",5.7
"490",2004,"new jersey",8.2
"491",2004,"new mexico",17.5
"492",2004,"new york",14.4
"493",2004,"north carolina",14.8
"494",2004,"north dakota",10.3
"495",2004,"ohio",10.8
"496",2004,"oklahoma",12.6
"497",2004,"oregon",11.7
"498",2004,"pennsylvania",10.4
"499",2004,"rhode island",11.3
"500",2004,"south carolina",14
"501",2004,"south dakota",12.5
"502",2004,"tennessee",14.9
"503",2004,"texas",16.4
"504",2004,"utah",9.6
"505",2004,"vermont",8.8
"506",2004,"virginia",9.8
"507",2004,"washington",11.7
"508",2004,"west virginia",16.1
"509",2004,"wisconsin",10.2
"510",2004,"wyoming",9.6
"511",2005,"alabama",16.2
"512",2005,"alaska",9.6
"513",2005,"arizona",14.4
"514",2005,"arkansas",15.6
"515",2005,"california",13.2
"516",2005,"colorado",10.4
"517",2005,"connecticut",9.2
"518",2005,"delaware",8.5
"519",2005,"district of columbia",18.3
"520",2005,"florida",11.8
"521",2005,"georgia",13.1
"522",2005,"hawaii",8.8
"523",2005,"idaho",10
"524",2005,"illinois",12.1
"525",2005,"indiana",11.4
"526",2005,"iowa",10.4
"527",2005,"kansas",11.6
"528",2005,"kentucky",15.6
"529",2005,"louisiana",17.4
"530",2005,"maine",11.9
"531",2005,"maryland",9.4
"532",2005,"massachusetts",9.9
"533",2005,"michigan",12.2
"534",2005,"minnesota",7.5
"535",2005,"mississippi",18.3
"536",2005,"missouri",11.5
"537",2005,"montana",14.4
"538",2005,"nebraska",9.6
"539",2005,"nevada",10.8
"540",2005,"new hampshire",5.6
"541",2005,"new jersey",7.8
"542",2005,"new mexico",17.5
"543",2005,"new york",14.6
"544",2005,"north carolina",14.4
"545",2005,"north dakota",10.2
"546",2005,"ohio",11.6
"547",2005,"oklahoma",13.1
"548",2005,"oregon",12.1
"549",2005,"pennsylvania",11
"550",2005,"rhode island",11.7
"551",2005,"south carolina",14.2
"552",2005,"south dakota",12.7
"553",2005,"tennessee",15
"554",2005,"texas",16.5
"555",2005,"utah",9.4
"556",2005,"vermont",8
"557",2005,"virginia",9.5
"558",2005,"washington",11.4
"559",2005,"west virginia",15.6
"560",2005,"wisconsin",10.8
"561",2005,"wyoming",10.1
"562",2006,"alabama",16
"563",2006,"alaska",9.3
"564",2006,"arizona",14.7
"565",2006,"arkansas",15.6
"566",2006,"california",12.9
"567",2006,"colorado",10.4
"568",2006,"connecticut",9.1
"569",2006,"delaware",9.2
"570",2006,"district of columbia",18.8
"571",2006,"florida",11.4
"572",2006,"georgia",13.3
"573",2006,"hawaii",8.8
"574",2006,"idaho",9.8
"575",2006,"illinois",11.5
"576",2006,"indiana",11.6
"577",2006,"iowa",10.8
"578",2006,"kansas",12.2
"579",2006,"kentucky",16.5
"580",2006,"louisiana",17.4
"581",2006,"maine",11.5
"582",2006,"maryland",9.3
"583",2006,"massachusetts",10.5
"584",2006,"michigan",12.9
"585",2006,"minnesota",7.7
"586",2006,"mississippi",19.8
"587",2006,"missouri",11.7
"588",2006,"montana",13.8
"589",2006,"nebraska",9.7
"590",2006,"nevada",10.4
"591",2006,"new hampshire",5.5
"592",2006,"new jersey",7.9
"593",2006,"new mexico",17.1
"594",2006,"new york",14.5
"595",2006,"north carolina",13.8
"596",2006,"north dakota",10.8
"597",2006,"ohio",12
"598",2006,"oklahoma",13.9
"599",2006,"oregon",11.9
"600",2006,"pennsylvania",11.3
"601",2006,"rhode island",11.3
"602",2006,"south carolina",13.7
"603",2006,"south dakota",12
"604",2006,"tennessee",15.2
"605",2006,"texas",16.4
"606",2006,"utah",9.5
"607",2006,"vermont",7.7
"608",2006,"virginia",9.1
"609",2006,"washington",9.9
"610",2006,"west virginia",15
"611",2006,"wisconsin",10.9
"612",2006,"wyoming",10.2
"613",2007,"alabama",15.2
"614",2007,"alaska",8.8
"615",2007,"arizona",14.7
"616",2007,"arkansas",15.1
"617",2007,"california",12.7
"618",2007,"colorado",10.3
"619",2007,"connecticut",8.7
"620",2007,"delaware",9.3
"621",2007,"district of columbia",19.2
"622",2007,"florida",11.7
"623",2007,"georgia",13.5
"624",2007,"hawaii",8.4
"625",2007,"idaho",9.8
"626",2007,"illinois",10.7
"627",2007,"indiana",11.7
"628",2007,"iowa",10.2
"629",2007,"kansas",12.3
"630",2007,"kentucky",15.7
"631",2007,"louisiana",17.1
"632",2007,"maine",11.2
"633",2007,"maryland",9
"634",2007,"massachusetts",11.1
"635",2007,"michigan",12
"636",2007,"minnesota",8.5
"637",2007,"mississippi",21.1
"638",2007,"missouri",11.9
"639",2007,"montana",13.4
"640",2007,"nebraska",9.9
"641",2007,"nevada",10
"642",2007,"new hampshire",5.6
"643",2007,"new jersey",8.1
"644",2007,"new mexico",16.3
"645",2007,"new york",14.4
"646",2007,"north carolina",14.1
"647",2007,"north dakota",10.6
"648",2007,"ohio",12.4
"649",2007,"oklahoma",14.7
"650",2007,"oregon",12.2
"651",2007,"pennsylvania",11
"652",2007,"rhode island",10.7
"653",2007,"south carolina",13.4
"654",2007,"south dakota",10.7
"655",2007,"tennessee",14.8
"656",2007,"texas",16.4
"657",2007,"utah",9.4
"658",2007,"vermont",8.4
"659",2007,"virginia",8.8
"660",2007,"washington",9.4
"661",2007,"west virginia",15.2
"662",2007,"wisconsin",10.4
"663",2007,"wyoming",10.5
"664",2008,"alabama",16.4
"665",2008,"alaska",9.4
"666",2008,"arizona",14.4
"667",2008,"arkansas",17.5
"668",2008,"california",12.9
"669",2008,"colorado",11.8
"670",2008,"connecticut",8.5
"671",2008,"delaware",10.5
"672",2008,"district of columbia",17.7
"673",2008,"florida",12.6
"674",2008,"georgia",14.6
"675",2008,"hawaii",8.8
"676",2008,"idaho",12.4
"677",2008,"illinois",12.1
"678",2008,"indiana",12.7
"679",2008,"iowa",11.2
"680",2008,"kansas",11.6
"681",2008,"kentucky",17.2
"682",2008,"louisiana",18.3
"683",2008,"maine",12.4
"684",2008,"maryland",8.1
"685",2008,"massachusetts",9.9
"686",2008,"michigan",14
"687",2008,"minnesota",9.6
"688",2008,"mississippi",21
"689",2008,"missouri",13.3
"690",2008,"montana",14.2
"691",2008,"nebraska",11.2
"692",2008,"nevada",10.8
"693",2008,"new hampshire",7.6
"694",2008,"new jersey",8.7
"695",2008,"new mexico",17.9
"696",2008,"new york",13.8
"697",2008,"north carolina",14.5
"698",2008,"north dakota",11.8
"699",2008,"ohio",13.3
"700",2008,"oklahoma",16.3
"701",2008,"oregon",13.3
"702",2008,"pennsylvania",11.9
"703",2008,"rhode island",11.6
"704",2008,"south carolina",15.5
"705",2008,"south dakota",13.1
"706",2008,"tennessee",15.9
"707",2008,"texas",16.3
"708",2008,"utah",10
"709",2008,"vermont",10.3
"710",2008,"virginia",9.9
"711",2008,"washington",11.5
"712",2008,"west virginia",17.1
"713",2008,"wisconsin",10.7
"714",2008,"wyoming",9.2
"715",2009,"alabama",16.7
"716",2009,"alaska",8.7
"717",2009,"arizona",15.2
"718",2009,"arkansas",18.1
"719",2009,"california",13.3
"720",2009,"colorado",12.2
"721",2009,"connecticut",9
"722",2009,"delaware",10.7
"723",2009,"district of columbia",17.4
"724",2009,"florida",13.6
"725",2009,"georgia",15.3
"726",2009,"hawaii",9.3
"727",2009,"idaho",13.3
"728",2009,"illinois",12.6
"729",2009,"indiana",13.4
"730",2009,"iowa",11.5
"731",2009,"kansas",12.1
"732",2009,"kentucky",18
"733",2009,"louisiana",17.9
"734",2009,"maine",12.4
"735",2009,"maryland",8.4
"736",2009,"massachusetts",10.1
"737",2009,"michigan",15.1
"738",2009,"minnesota",10.2
"739",2009,"mississippi",21.4
"740",2009,"missouri",13.8
"741",2009,"montana",14.9
"742",2009,"nebraska",11.7
"743",2009,"nevada",11.6
"744",2009,"new hampshire",7.8
"745",2009,"new jersey",9
"746",2009,"new mexico",17.8
"747",2009,"new york",13.9
"748",2009,"north carolina",15.2
"749",2009,"north dakota",12.2
"750",2009,"ohio",14
"751",2009,"oklahoma",16.1
"752",2009,"oregon",13.7
"753",2009,"pennsylvania",12.1
"754",2009,"rhode island",11.9
"755",2009,"south carolina",16
"756",2009,"south dakota",13.4
"757",2009,"tennessee",16.4
"758",2009,"texas",16.6
"759",2009,"utah",10.3
"760",2009,"vermont",10.9
"761",2009,"virginia",10.3
"762",2009,"washington",11.8
"763",2009,"west virginia",17.4
"764",2009,"wisconsin",11.4
"765",2009,"wyoming",9.7
"766",2010,"alabama",17.4
"767",2010,"alaska",9.1
"768",2010,"arizona",16.3
"769",2010,"arkansas",18.4
"770",2010,"california",14.5
"771",2010,"colorado",12.5
"772",2010,"connecticut",9.7
"773",2010,"delaware",11.3
"774",2010,"district of columbia",18.7
"775",2010,"florida",15
"776",2010,"georgia",16.5
"777",2010,"hawaii",10
"778",2010,"idaho",14.3
"779",2010,"illinois",13.1
"780",2010,"indiana",14.2
"781",2010,"iowa",11.9
"782",2010,"kansas",12.8
"783",2010,"kentucky",18.2
"784",2010,"louisiana",17.8
"785",2010,"maine",12.6
"786",2010,"maryland",9.1
"787",2010,"massachusetts",10.8
"788",2010,"michigan",15.7
"789",2010,"minnesota",11
"790",2010,"mississippi",21.8
"791",2010,"missouri",14.5
"792",2010,"montana",14.6
"793",2010,"nebraska",11.9
"794",2010,"nevada",13
"795",2010,"new hampshire",8.1
"796",2010,"new jersey",9.5
"797",2010,"new mexico",18.7
"798",2010,"new york",14.4
"799",2010,"north carolina",16.2
"800",2010,"north dakota",12.3
"801",2010,"ohio",14.8
"802",2010,"oklahoma",16.3
"803",2010,"oregon",14.6
"804",2010,"pennsylvania",12.8
"805",2010,"rhode island",12.8
"806",2010,"south carolina",17.1
"807",2010,"south dakota",13.8
"808",2010,"tennessee",16.9
"809",2010,"texas",17
"810",2010,"utah",11.5
"811",2010,"vermont",11.7
"812",2010,"virginia",10.7
"813",2010,"washington",12.5
"814",2010,"west virginia",17.6
"815",2010,"wisconsin",12.1
"816",2010,"wyoming",10.3
"817",2011,"alabama",18.4
"818",2011,"alaska",9.8
"819",2011,"arizona",17.6
"820",2011,"arkansas",19
"821",2011,"california",15.5
"822",2011,"colorado",13.2
"823",2011,"connecticut",10.1
"824",2011,"delaware",11.7
"825",2011,"district of columbia",18.9
"826",2011,"florida",16.1
"827",2011,"georgia",17.8
"828",2011,"hawaii",11.1
"829",2011,"idaho",15.3
"830",2011,"illinois",14
"831",2011,"indiana",15.2
"832",2011,"iowa",12.4
"833",2011,"kansas",13.6
"834",2011,"kentucky",18.8
"835",2011,"louisiana",18.7
"836",2011,"maine",13
"837",2011,"maryland",9.7
"838",2011,"massachusetts",11.2
"839",2011,"michigan",16.7
"840",2011,"minnesota",11.6
"841",2011,"mississippi",22.2
"842",2011,"missouri",15.2
"843",2011,"montana",14.9
"844",2011,"nebraska",12.7
"845",2011,"nevada",14.5
"846",2011,"new hampshire",8.4
"847",2011,"new jersey",10
"848",2011,"new mexico",20.2
"849",2011,"new york",15.1
"850",2011,"north carolina",17.2
"851",2011,"north dakota",12.4
"852",2011,"ohio",15.8
"853",2011,"oklahoma",16.8
"854",2011,"oregon",15.8
"855",2011,"pennsylvania",13.2
"856",2011,"rhode island",13.5
"857",2011,"south carolina",18.2
"858",2011,"south dakota",14
"859",2011,"tennessee",17.7
"860",2011,"texas",17.8
"861",2011,"utah",12.7
"862",2011,"vermont",11.8
"863",2011,"virginia",11.1
"864",2011,"washington",13.3
"865",2011,"west virginia",17.9
"866",2011,"wisconsin",12.9
"867",2011,"wyoming",10.8
"868",2012,"alabama",19
"869",2012,"alaska",10.2
"870",2012,"arizona",18.3
"871",2012,"arkansas",19.3
"872",2012,"california",16.4
"873",2012,"colorado",13.5
"874",2012,"connecticut",10.5
"875",2012,"delaware",11.9
"876",2012,"district of columbia",18.8
"877",2012,"florida",16.8
"878",2012,"georgia",18.7
"879",2012,"hawaii",11.5
"880",2012,"idaho",16.1
"881",2012,"illinois",14.5
"882",2012,"indiana",15.6
"883",2012,"iowa",12.7
"884",2012,"kansas",13.8
"885",2012,"kentucky",19.2
