"","year","region","crime_rate","pop_density","pol_officer_rate","pov_rate","unemp_rate","med_age"
"37",1995,"oklahoma",4932.7,47.7292913408757,2,17.1,4.4,34
"38",1995,"oregon",6041.5,32.7180683735755,1.96,11.2,4.9,35
"39",1995,"pennsylvania",2937.6,269.344042838019,1.94,12.2,6.3,36
"40",1995,"rhode island",3876.6,947.368421052632,2.35,10.6,6.4,35
"41",1995,"south carolina",5081.8,121.981999933579,2.36,19.9,5.4,33
"42",1995,"south dakota",2853.1,9.60524928850005,1.52,14.5,2.9,34
"43",1995,"tennessee",4591.2,127.514010529125,2.01,15.5,5.1,34
"44",1995,"texas",5020.5,71.4891147475889,2.25,17.4,6.4,31
"45",1995,"utah",5762,23.7440366079252,1.97,8.4,2.8,27
"46",1995,"vermont",3315.4,63.2500810898475,1.54,10.3,4.1,35
"47",1995,"virginia",3627.7,167.129653012778,2.09,10.2,4.3,34
"48",1995,"washington",5785.5,81.5698172151214,1.61,12.5,5.8,34
"49",1995,"west virginia",2248,75.8915597625275,1.59,16.7,7.6,37
"50",1995,"wisconsin",3604.6,94.3219059542659,2.3,8.5,3.7,34
"51",1995,"wyoming",4066,4.94310282683693,2.41,12.2,4,34
"52",1996,"alabama",4254.7,84.1970443349754,2.19,16.8,5,34
"53",1996,"alaska",4722.7,1.06421400694983,1.9,8.5,7.5,32
"54",1996,"arizona",6435.5,38.9644673624188,2.03,17.5,5.2,33
"55",1996,"arkansas",4174.9,48.1997119539126,1.95,15.8,5.2,35
"56",1996,"california",4345.1,204.38152757208,2.06,17.2,6.9,32
"57",1996,"colorado",4714,36.8556527104281,2.29,9.5,3.7,34
"58",1996,"connecticut",3815.6,675.748194014448,2.52,10.7,5.1,36
"59",1996,"delaware",4226.6,370.843989769821,2.83,9.1,5.4,34
"60",1996,"district of columbia",9426.9,8901.6393442623,6.69,22.5,7.3,33
"61",1996,"florida",6446.3,266.681482304572,2.53,15.1,4.9,37
"62",1996,"georgia",5671,126.953158721663,4.22,13.6,4.5,32
"63",1996,"hawaii",6304,184.337536976491,2.32,10.4,6,34
"64",1996,"idaho",3745.3,14.3684064240916,2.05,12.8,5,33
"65",1996,"illinois",4429.6,213.102369003292,2.72,12.3,5,34
"66",1996,"indiana",3961.2,162.838026205743,1.66,10.3,3.6,34
"67",1996,"iowa",3376.4,51.0425055928412,1.63,10.8,3.4,35
"68",1996,"kansas",4268,31.4337044596263,2.46,12.3,4,34
"69",1996,"kentucky",2845.8,97.7549582200745,1.85,16.7,5,34
"70",1996,"louisiana",5909.7,99.871459394941,3.23,22,6.1,32
"71",1996,"maine",3269.2,40.272152924024,1.61,10.6,4.2,36
"72",1996,"maryland",5130.7,518.874680306905,2.62,10.4,4.4,34
"73",1996,"massachusetts",3194.9,777.239091605001,2.64,10.3,3.9,35
"74",1996,"michigan",4482.2,168.881691281311,1.97,12.5,4.7,34
"75",1996,"minnesota",4124.3,58.505093133376,1.68,10.2,3.7,34
"76",1996,"mississippi",4034.6,57.8931662190391,1.92,21.3,5.5,32
"77",1996,"missouri",4493,77.7816482336207,2.09,11.5,4.5,35
"78",1996,"montana",4332.7,6.03891285828135,1.67,14.6,4.6,36
