"year","population","region","property_crime","violent_crime","cluster_number"
2015,3911338,"oklahoma",2885.9,422,"2"
2015,4028977,"oregon",2946.6,259.8,"2"
2015,12802503,"pennsylvania",1812.8,315.1,"3"
2015,3474182,"puerto rico",1085.6,219.6,"3"
2015,1056298,"rhode island",1897.5,242.5,"3"
2015,4896146,"south carolina",3293.3,504.5,"2"
2015,858469,"south dakota",1943,383.1,"3"
2015,6600299,"tennessee",2936.2,612.1,"1"
2015,27469114,"texas",2831.3,412.2,"2"
2015,2995919,"utah",2980,236,"2"
2015,626042,"vermont",1406.6,118,"3"
2015,8382993,"virginia",1866.5,195.6,"3"
2015,7170351,"washington",3463.8,284.4,"2"
2015,1844128,"west virginia",2020,337.9,"3"
2015,5771337,"wisconsin",1974,305.8,"3"
2015,586107,"wyoming",1902.6,222.1,"3"
2016,4863300,"alabama",2947.8,532.3,"1"
2016,741894,"alaska",3353,804.2,"3"
2016,6931071,"arizona",2978.4,470.1,"1"
2016,2988248,"arkansas",3268.6,550.9,"1"
2016,39250017,"california",2553,445.3,"1"
2016,5540545,"colorado",2740.7,342.6,"1"
2016,3576452,"connecticut",1808,227.1,"2"
2016,952065,"delaware",2766,508.8,"1"
2016,681170,"district of columbia",4802.9,1205.9,"3"
2016,20612439,"florida",2686.8,430.3,"1"
2016,10310371,"georgia",3004.5,397.6,"1"
2016,1428557,"hawaii",2992.7,309.2,"1"
2016,1683140,"idaho",1744.2,230.3,"2"
2016,12801539,"illinois",2049,436.3,"2"
2016,6633053,"indiana",2589.4,404.7,"1"
2016,3134693,"iowa",2086,290.6,"2"
2016,2907289,"kansas",2695.5,380.4,"1"
2016,4436974,"kentucky",2189.7,232.3,"1"
2016,4681666,"louisiana",3297.7,566.1,"1"
2016,1331479,"maine",1645.7,123.8,"2"
2016,6016447,"maryland",2284.5,472,"2"
2016,6811779,"massachusetts",1561.1,376.9,"2"
2016,9928300,"michigan",1909.9,459,"2"
2016,5519952,"minnesota",2133.3,242.6,"1"
2016,2988726,"mississippi",2768.1,280.5,"1"
2016,6093000,"missouri",2799.1,519.4,"1"
2016,1042520,"montana",2683.5,368.3,"1"
2016,1907116,"nebraska",2263.3,291,"1"
2016,2940058,"nevada",2586.6,678.1,"3"
2016,1334795,"new hampshire",1512.9,197.6,"2"
2016,8944469,"new jersey",1544.6,245,"2"
2016,2081015,"new mexico",3937.1,702.5,"1"
2016,19745289,"new york",1545.6,376.2,"2"
2016,10146788,"north carolina",2737.5,372.2,"1"
2016,757952,"north dakota",2295.9,251.1,"1"
2016,11614373,"ohio",2577.5,300.3,"1"
2016,3923561,"oklahoma",2982.9,449.8,"1"
2016,4093465,"oregon",2964.4,264.6,"1"
2016,12784227,"pennsylvania",1742.7,316.4,"2"
2016,3411307,"puerto rico",1031.9,224,"2"
2016,1056426,"rhode island",1898.7,238.9,"2"
2016,4961119,"south carolina",3243.8,501.8,"1"
2016,865454,"south dakota",1980.6,418.4,"2"
2016,6651194,"tennessee",2854.1,632.9,"3"
2016,27862596,"texas",2759.8,434.4,"1"
2016,3051217,"utah",2951.5,242.8,"1"
2016,624594,"vermont",1697.4,158.3,"2"
2016,8411808,"virginia",1859.4,217.6,"2"
2016,7288000,"washington",3494.1,302.2,"1"
2016,1831102,"west virginia",2047.2,358.1,"2"
2016,5778708,"wisconsin",1933.3,305.9,"2"
2016,585501,"wyoming",1957.3,244.2,"2"
2017,4874747,"alabama",2957.3,524.2,"2"
2017,739795,"alaska",3542.1,829,"2"
2017,7016270,"arizona",2914.9,508,"2"
2017,3004279,"arkansas",3078.6,554.9,"2"
2017,39536653,"california",2496.7,449.3,"1"
2017,5607154,"colorado",2701.6,368.1,"3"
2017,3588184,"connecticut",1769.9,228,"1"
2017,961939,"delaware",2440.6,453.4,"1"
2017,693972,"district of columbia",4283.9,1004.9,"2"
2017,20984400,"florida",2512.4,408,"3"
2017,10429379,"georgia",2860.2,357.2,"3"
2017,1427538,"hawaii",2829.5,250.6,"3"
2017,1716943,"idaho",1635.4,226.4,"1"
2017,12802023,"illinois",2011.4,438.8,"1"
2017,6666818,"indiana",2416.9,399,"3"
2017,3145711,"iowa",2125.3,293.4,"3"
2017,2913123,"kansas",2800.9,413,"3"
2017,4454189,"kentucky",2129.1,225.8,"3"
2017,4684333,"louisiana",3366.8,557,"2"
2017,1335907,"maine",1507.1,121,"1"
2017,6052177,"maryland",2222.3,500.2,"1"
2017,6859819,"massachusetts",1437,358,"1"
2017,9962311,"michigan",1800,450,"1"
2017,5576606,"minnesota",2191.5,238.3,"3"
2017,2984100,"mississippi",2733.9,285.7,"3"
2017,6113532,"missouri",2833.9,530.3,"2"
2017,1050493,"montana",2591.6,377.1,"3"
2017,1920076,"nebraska",2274,305.9,"3"
2017,2998039,"nevada",2612.4,555.9,"2"
2017,1342795,"new hampshire",1381.8,198.7,"1"
2017,9005644,"new jersey",1555.5,228.8,"1"
2017,2088070,"new mexico",3941.7,783.5,"2"
2017,19849399,"new york",1514.2,356.7,"1"
2017,10273419,"north carolina",2545.3,363.7,"3"
2017,755393,"north dakota",2197.8,281.3,"3"
2017,11658609,"ohio",2419.1,297.5,"3"
2017,3930864,"oklahoma",2876.4,456.2,"3"
2017,4142776,"oregon",2986.5,281.8,"3"
2017,12805537,"pennsylvania",1649.4,313.3,"1"
2017,3337177,"puerto rico",934.2,232.6,"1"
2017,1059639,"rhode island",1751.6,232.2,"1"
2017,5024369,"south carolina",3195.9,506.2,"3"
2017,869666,"south dakota",1876.2,433.6,"1"
2017,6715984,"tennessee",2940.6,651.5,"2"
2017,28304596,"texas",2562.6,438.9,"3"
2017,3101833,"utah",2780.2,238.9,"3"
2017,623657,"vermont",1436.7,165.8,"1"
2017,8470020,"virginia",1792.9,208.2,"1"
2017,7405743,"washington",3173.6,304.5,"3"
2017,1815857,"west virginia",1852,350.7,"1"
2017,5795483,"wisconsin",1808.3,319.9,"1"
2017,579315,"wyoming",1830.4,237.5,"1"
2018,4887871,"alabama",2817.2,519.6,"3"
2018,737438,"alaska",3300.5,885,"2"
2018,7171646,"arizona",2676.8,474.9,"3"
2018,3013825,"arkansas",2913,543.6,"3"
2018,39557045,"california",2380.4,447.4,"3"
2018,5695564,"colorado",2671.6,397.2,"3"
2018,3572665,"connecticut",1681,207.4,"1"
2018,967171,"delaware",2324.4,423.6,"3"
2018,702455,"district of columbia",4373.8,995.9,"2"
2018,21299325,"florida",2281.8,384.9,"3"
2018,10519475,"georgia",2573.7,326.6,"3"
2018,1420491,"hawaii",2870.3,248.6,"3"
2018,1754208,"idaho",1461.4,227.1,"1"
2018,12741080,"illinois",1932.8,404.1,"1"
2018,6691878,"indiana",2179.3,382.3,"3"
2018,3156145,"iowa",1691.5,250.1,"1"
2018,2911505,"kansas",2633.9,439,"3"
2018,4468402,"kentucky",1962.6,211.9,"3"
2018,4659978,"louisiana",3276,537.5,"3"
2018,1338404,"maine",1357.8,112.1,"1"
2018,6042718,"maryland",2033.3,468.7,"1"
2018,6902149,"massachusetts",1263.3,338.1,"1"
2018,9995915,"michigan",1653.5,449.4,"1"
2018,5611179,"minnesota",1993.8,220.4,"3"
2018,2986530,"mississippi",2403,234.4,"3"
2018,6126452,"missouri",2647.1,502.1,"3"
2018,1062305,"montana",2496.3,374.1,"3"
2018,1929268,"nebraska",2079.9,284.8,"3"
2018,3034392,"nevada",2438.2,541.1,"1"
2018,1356458,"new hampshire",1248.5,173.2,"1"
2018,8908520,"new jersey",1404.9,208.1,"1"
2018,2095428,"new mexico",3419.7,856.6,"2"
2018,19542209,"new york",1440.5,350.5,"1"
2018,10383620,"north carolina",2494.1,377.6,"3"
2018,760077,"north dakota",2040.2,280.6,"3"
2018,11689442,"ohio",2177.1,279.9,"3"
2018,3943079,"oklahoma",2875,466.1,"3"
2018,4190713,"oregon",2894,285.5,"3"
2018,12807060,"pennsylvania",1489.9,306,"1"
2018,3195153,"puerto rico",777.8,200.8,"1"
2018,1057315,"rhode island",1660.9,219.1,"1"
2018,5084127,"south carolina",3017.6,488.3,"3"
2018,882235,"south dakota",1728.7,404.7,"1"
2018,6770010,"tennessee",2825.4,623.7,"2"
2018,28701845,"texas",2367.2,410.9,"3"
2018,3161105,"utah",2377.5,233.1,"3"
2018,626299,"vermont",1283.1,172,"1"
2018,8517685,"virginia",1665.8,200,"1"
2018,7535591,"washington",2946.2,311.5,"3"
2018,1805832,"west virginia",1485.6,289.9,"1"
2018,5813568,"wisconsin",1559.9,295.4,"1"
2018,577737,"wyoming",1785.1,212.2,"3"
2019,4903185,"alabama",2674.4,510.8,"1"
2019,731545,"alaska",2910.8,867.1,"2"
2019,7278717,"arizona",2440.5,455.3,"1"
2019,3017804,"arkansas",2858,584.6,"1"
2019,39512223,"california",2331.2,441.2,"1"
2019,5758736,"colorado",2590.7,381,"1"
2019,3565287,"connecticut",1426.6,183.6,"3"
2019,973764,"delaware",2252.2,422.6,"1"
2019,705749,"district of columbia",4367.1,1049,"2"
2019,21477737,"florida",2145.7,378.4,"1"
2019,10617423,"georgia",2375.8,340.7,"1"
2019,1415872,"hawaii",2841.2,285.5,"1"
2019,1787065,"idaho",1219.5,223.8,"3"
2019,12671821,"illinois",1846.5,406.9,"3"
2019,6732219,"indiana",1971,370.8,"3"
2019,3155070,"iowa",1733.7,266.6,"3"
2019,2913314,"kansas",2314.5,410.8,"1"
2019,4467673,"kentucky",1897.4,217.1,"1"
2019,4648794,"louisiana",3162,549.3,"1"
2019,1344212,"maine",1245.6,115.2,"3"
2019,6045680,"maryland",1950.2,454.1,"3"
2019,6892503,"massachusetts",1179.8,327.6,"3"
2019,9986857,"michigan",1585,437.4,"3"
2019,5639632,"minnesota",2078.8,236.4,"1"
2019,2976149,"mississippi",2375.8,277.9,"1"
2019,6137428,"missouri",2638.7,495,"1"
2019,1068778,"montana",2193.2,404.9,"1"
2019,1934408,"nebraska",2039.3,300.9,"1"
2019,3080156,"nevada",2322.1,493.8,"1"
2019,1359711,"new hampshire",1209.2,152.5,"3"
2019,8882190,"new jersey",1335.7,206.9,"3"
2019,2096829,"new mexico",3112.7,832.2,"2"
2019,19453561,"new york",1373.3,358.6,"3"
2019,10488084,"north carolina",2357.3,371.8,"1"
2019,762062,"north dakota",1977,284.6,"1"
2019,11689100,"ohio",2055.7,293.2,"1"
2019,3956971,"oklahoma",2845.3,431.8,"1"
2019,4217737,"oregon",2730.6,284.4,"1"
2019,12801989,"pennsylvania",1403.4,306.4,"3"
2019,3193694,"puerto rico",702.7,202.9,"3"
2019,1059361,"rhode island",1534.8,221.1,"3"
2019,5148714,"south carolina",2940.3,511.3,"1"
2019,884659,"south dakota",1771,399,"3"
2019,6829174,"tennessee",2652.6,595.2,"1"
2019,28995881,"texas",2390.7,418.9,"1"
2019,3205958,"utah",2169.3,235.6,"1"
2019,623989,"vermont",1424.4,202.2,"3"
2019,8535519,"virginia",1642.7,208,"3"
2019,7614893,"washington",2681.9,293.9,"1"
2019,1792147,"west virginia",1583.4,316.6,"3"
2019,5822434,"wisconsin",1471.4,293.2,"3"
2019,578759,"wyoming",1571.1,217.4,"3"
