"","year","state","property_crime","violent_crime","density"
"104",1996,"wyoming",4004.4,249.7,4.95340095772617
"105",1997,"alabama",4325.3,564.5,85.1034482758621
"106",1997,"alaska",4571.4,701.1,1.06772047814241
"107",1997,"arizona",6571.3,623.7,40.0820119322082
"108",1997,"arkansas",4191.8,526.9,48.4493518963034
"109",1997,"california",4067.1,798.3,206.881960339289
"110",1997,"colorado",4287.2,363.2,37.5304880987959
"111",1997,"connecticut",3593.4,390.9,674.922600619195
"112",1997,"delaware",4460.4,677.9,374.424552429668
"113",1997,"district of columbia",7814.9,2024.2,8672.13114754098
"114",1997,"florida",6248.2,1023.6,271.385447339667
"115",1997,"georgia",5185.1,606.6,129.249469086138
"116",1997,"hawaii",5745,277.9,184.804608438424
"117",1997,"idaho",3668.4,256.8,14.6221797923892
"118",1997,"illinois",4279.7,861.4,213.983774935693
"119",1997,"indiana",3951.6,514.6,163.479230554781
"120",1997,"iowa",3505.8,310,51.0425055928412
"121",1997,"kansas",4154.3,409.2,31.7147990173912
"122",1997,"kentucky",2810.1,316.9,98.3590053357495
"123",1997,"louisiana",5593.4,855.9,99.8944130744158
"124",1997,"maine",3011,120.8,40.2397537664021
"125",1997,"maryland",4806.5,846.6,521.125319693095
"126",1997,"massachusetts",3031,644.2,780.556264353151
"127",1997,"michigan",4326.9,590,172.050203312855
"128",1997,"minnesota",4076.1,337.8,58.8567768190211
"129",1997,"mississippi",4161.3,469,58.2129002003666
"130",1997,"missouri",4237.1,577.4,78.4057592382943
"131",1997,"montana",4276.7,132.1,6.03891285828135
"132",1997,"nebraska",3845.3,438.4,21.5536304274305
"133",1997,"nevada",5265.8,798.7,15.2723894869133
"134",1997,"new hampshire",2526.4,113.2,130.783810904226
"135",1997,"new jersey",3564.4,492.6,1085.45626095161
"136",1997,"new mexico",6053.2,853.3,14.2546389374114
"137",1997,"new york",3222.4,688.6,384.063188209385
"138",1997,"north carolina",4884.5,607,152.407734307648
"139",1997,"north dakota",2624.2,87.2,9.29066295619909
"140",1997,"ohio",4079.2,435.4,273.142382731424
"141",1997,"oklahoma",4935.1,559.5,48.2971505118013
"142",1997,"oregon",5825.3,444.4,33.78054623862
"143",1997,"pennsylvania",2989.4,442.1,268.1838464971
"145",1997,"rhode island",3320.9,333.5,944.497607655502
"146",1997,"south carolina",5143.7,990.3,124.871309488227
"147",1997,"south dakota",3047.6,197.4,9.72383261304944
"148",1997,"tennessee",4722.1,789.7,130.231204056382
"149",1997,"texas",4878,602.5,74.2190184564399
"150",1997,"utah",5661.4,334,25.058416901957
"151",1997,"vermont",2708.5,119.7,63.6825602767867
"152",1997,"virginia",3530.9,345.2,170.059093893631
"153",1997,"washington",5485.6,440.7,84.258271879365
"154",1997,"west virginia",2250.4,218.7,75.3933657159464
"155",1997,"wisconsin",3407.1,270.6,95.1872445410023
"156",1997,"wyoming",3925.6,255.2,4.94310282683693
"157",1998,"alabama",4085,512.1,85.7536945812808
"158",1998,"alaska",4123.1,653.9,1.07648665612388
"159",1998,"arizona",5997,577.9,41.0851621759561
"160",1998,"arkansas",3793.2,490.2,48.7373979836774
"161",1998,"california",3639.1,703.7,209.440095401127
"162",1998,"colorado",4109.5,377.9,38.2824475315486
"163",1998,"connecticut",3420.2,366.3,675.748194014448
"164",1998,"delaware",4600.8,762.4,380.562659846547
"165",1998,"district of columbia",7117,1718.5,8573.77049180328
"166",1998,"florida",5947.4,938.7,276.23756875382
"167",1998,"georgia",4890.3,572.7,131.942885754243
