"","year","region","med_age"
"238",1999,"north carolina",35
"239",1999,"north dakota",35
"240",1999,"ohio",36
"241",1999,"oklahoma",35
"242",1999,"oregon",36
"243",1999,"pennsylvania",37
"244",1999,"rhode island",36
"245",1999,"south carolina",35
"246",1999,"south dakota",35
"247",1999,"tennessee",35
"248",1999,"texas",32
"249",1999,"utah",27
"250",1999,"vermont",37
"251",1999,"virginia",35
"252",1999,"washington",35
"253",1999,"west virginia",38
"254",1999,"wisconsin",35
"255",1999,"wyoming",35
"256",2000,"alabama",35
"257",2000,"alaska",32
"258",2000,"arizona",34
"259",2000,"arkansas",36
"260",2000,"california",33
"261",2000,"colorado",34
"262",2000,"connecticut",37
"263",2000,"delaware",36
"264",2000,"district of columbia",34
"265",2000,"florida",38
"266",2000,"georgia",33
"267",2000,"hawaii",36
"268",2000,"idaho",33
"269",2000,"illinois",34
"270",2000,"indiana",35
"271",2000,"iowa",36
"272",2000,"kansas",35
"273",2000,"kentucky",35
"274",2000,"louisiana",34
"275",2000,"maine",38
"276",2000,"maryland",36
"277",2000,"massachusetts",36
"278",2000,"michigan",35
"279",2000,"minnesota",35
"280",2000,"mississippi",33
"281",2000,"missouri",36
"282",2000,"montana",37
"283",2000,"nebraska",35
"284",2000,"nevada",35
"285",2000,"new hampshire",37
"286",2000,"new jersey",36
"287",2000,"new mexico",34
"288",2000,"new york",35
"289",2000,"north carolina",35
"290",2000,"north dakota",36
"291",2000,"ohio",36
"292",2000,"oklahoma",35
"293",2000,"oregon",36
"294",2000,"pennsylvania",38
"295",2000,"rhode island",36
"296",2000,"south carolina",35
"297",2000,"south dakota",35
"298",2000,"tennessee",35
"299",2000,"texas",32
"300",2000,"utah",27
"301",2000,"vermont",37
"302",2000,"virginia",35
"303",2000,"washington",35
"304",2000,"west virginia",39
"305",2000,"wisconsin",36
"306",2000,"wyoming",36
"307",2001,"alabama",36
"308",2001,"alaska",32
"309",2001,"arizona",34
"310",2001,"arkansas",36
"311",2001,"california",33
"312",2001,"colorado",34
"313",2001,"connecticut",37
"314",2001,"delaware",36
"315",2001,"district of columbia",34
"316",2001,"florida",38
"317",2001,"georgia",33
"318",2001,"hawaii",36
"319",2001,"idaho",33
"320",2001,"illinois",34
"321",2001,"indiana",35
"322",2001,"iowa",36
"323",2001,"kansas",35
"324",2001,"kentucky",36
"325",2001,"louisiana",34
"326",2001,"maine",39
"327",2001,"maryland",36
"328",2001,"massachusetts",36
"329",2001,"michigan",35
"330",2001,"minnesota",35
"331",2001,"mississippi",34
"332",2001,"missouri",36
"333",2001,"montana",38
"334",2001,"nebraska",35
"335",2001,"nevada",35
"336",2001,"new hampshire",37
"337",2001,"new jersey",37
"338",2001,"new mexico",34
"339",2001,"new york",36
"340",2001,"north carolina",35
"341",2001,"north dakota",36
"342",2001,"ohio",36
"343",2001,"oklahoma",35
"344",2001,"oregon",36
