"","year","region","med_age"
"1036",2015,"iowa",37
"1037",2015,"kansas",36
"1038",2015,"kentucky",38
"1039",2015,"louisiana",36
"1040",2015,"maine",44
"1041",2015,"maryland",38
"1042",2015,"massachusetts",39
"1043",2015,"michigan",39
"1044",2015,"minnesota",37
"1045",2015,"mississippi",36
"1046",2015,"missouri",38
"1047",2015,"montana",39
"1048",2015,"nebraska",36
"1049",2015,"nevada",37
"1050",2015,"new hampshire",42
"1051",2015,"new jersey",39
"1052",2015,"new mexico",37
"1053",2015,"new york",38
"1054",2015,"north carolina",38
"1055",2015,"north dakota",34
"1056",2015,"ohio",39
"1057",2015,"oklahoma",36
"1058",2015,"oregon",39
"1059",2015,"pennsylvania",40
"1060",2015,"rhode island",39
"1061",2015,"south carolina",39
"1062",2015,"south dakota",36
"1063",2015,"tennessee",38
"1064",2015,"texas",34
"1065",2015,"utah",30
"1066",2015,"vermont",42
"1067",2015,"virginia",37
"1068",2015,"washington",37
"1069",2015,"west virginia",42
"1070",2015,"wisconsin",39
"1071",2015,"wyoming",36
"1072",2016,"alabama",38
"1073",2016,"alaska",33
"1074",2016,"arizona",37
"1075",2016,"arkansas",37
"1076",2016,"california",36
"1077",2016,"colorado",36
"1078",2016,"connecticut",40
"1079",2016,"delaware",40
"1080",2016,"district of columbia",33
"1081",2016,"florida",42
"1082",2016,"georgia",36
"1083",2016,"hawaii",38
"1084",2016,"idaho",36
"1085",2016,"illinois",37
"1086",2016,"indiana",37
"1087",2016,"iowa",38
"1088",2016,"kansas",36
"1089",2016,"kentucky",38
"1090",2016,"louisiana",36
"1091",2016,"maine",44
"1092",2016,"maryland",38
"1093",2016,"massachusetts",39
"1094",2016,"michigan",39
"1095",2016,"minnesota",37
"1096",2016,"mississippi",37
"1097",2016,"missouri",38
"1098",2016,"montana",39
"1099",2016,"nebraska",36
"1100",2016,"nevada",37
"1101",2016,"new hampshire",42
"1102",2016,"new jersey",39
"1103",2016,"new mexico",37
"1104",2016,"new york",38
"1105",2016,"north carolina",38
"1106",2016,"north dakota",34
"1107",2016,"ohio",39
"1108",2016,"oklahoma",36
"1109",2016,"oregon",39
"1110",2016,"pennsylvania",40
"1111",2016,"rhode island",39
"1112",2016,"south carolina",39
"1113",2016,"south dakota",37
"1114",2016,"tennessee",38
"1115",2016,"texas",34
"1116",2016,"utah",30
"1117",2016,"vermont",42
"1118",2016,"virginia",38
"1119",2016,"washington",37
"1120",2016,"west virginia",42
"1121",2016,"wisconsin",39
"1122",2016,"wyoming",37
"1123",2017,"alabama",39
"1124",2017,"alaska",34
"1125",2017,"arizona",37
"1126",2017,"arkansas",38
"1127",2017,"california",36
"1128",2017,"colorado",36
"1129",2017,"connecticut",40
"1130",2017,"delaware",40
"1131",2017,"district of columbia",33
"1132",2017,"florida",42
"1133",2017,"georgia",36
"1134",2017,"hawaii",38
"1135",2017,"idaho",36
"1136",2017,"illinois",37
"1137",2017,"indiana",37
"1138",2017,"iowa",38
"1139",2017,"kansas",36
"1140",2017,"kentucky",38
"1141",2017,"louisiana",36
"1142",2017,"maine",44
"1143",2017,"maryland",38
"1144",2017,"massachusetts",39
"1145",2017,"michigan",39
"1146",2017,"minnesota",38
"1147",2017,"mississippi",37
"1148",2017,"missouri",38
"1149",2017,"montana",40
"1150",2017,"nebraska",36
"1151",2017,"nevada",37
"1152",2017,"new hampshire",43
"1153",2017,"new jersey",39
"1154",2017,"new mexico",37
"1155",2017,"new york",38
"1156",2017,"north carolina",38
"1157",2017,"north dakota",34
"1158",2017,"ohio",39
"1159",2017,"oklahoma",36
"1160",2017,"oregon",39
"1161",2017,"pennsylvania",40
"1162",2017,"rhode island",40
"1163",2017,"south carolina",39
"1164",2017,"south dakota",37
"1165",2017,"tennessee",38
"1166",2017,"texas",34
"1167",2017,"utah",30
"1168",2017,"vermont",42
"1169",2017,"virginia",38
"1170",2017,"washington",37
"1171",2017,"west virginia",42
"1172",2017,"wisconsin",39
"1173",2017,"wyoming",37
"1174",2018,"alabama",39
"1175",2018,"alaska",34
"1176",2018,"arizona",37
"1177",2018,"arkansas",38
"1178",2018,"california",36
"1179",2018,"colorado",36
"1180",2018,"connecticut",40
"1181",2018,"delaware",40
"1182",2018,"district of columbia",34
"1183",2018,"florida",42
"1184",2018,"georgia",36
"1185",2018,"hawaii",38
"1186",2018,"idaho",36
"1187",2018,"illinois",38
"1188",2018,"indiana",37
"1189",2018,"iowa",38
"1190",2018,"kansas",36
"1191",2018,"kentucky",38
"1192",2018,"louisiana",36
"1193",2018,"maine",45
"1194",2018,"maryland",38
"1195",2018,"massachusetts",39
"1196",2018,"michigan",39
"1197",2018,"minnesota",38
"1198",2018,"mississippi",37
"1199",2018,"missouri",38
"1200",2018,"montana",40
"1201",2018,"nebraska",36
"1202",2018,"nevada",38
"1203",2018,"new hampshire",43
"1204",2018,"new jersey",39
"1205",2018,"new mexico",38
"1206",2018,"new york",38
"1207",2018,"north carolina",38
"1208",2018,"north dakota",34
"1209",2018,"ohio",39
"1210",2018,"oklahoma",36
"1211",2018,"oregon",39
"1212",2018,"pennsylvania",40
"1213",2018,"rhode island",40
"1214",2018,"south carolina",39
"1215",2018,"south dakota",37
"1216",2018,"tennessee",38
"1217",2018,"texas",34
"1218",2018,"utah",30
"1219",2018,"vermont",43
"1220",2018,"virginia",38
"1221",2018,"washington",37
"1222",2018,"west virginia",42
"1223",2018,"wisconsin",39
"1224",2018,"wyoming",37
